,User,Tweet Data,Date,Compound Score,Positive Score,Neutral Score,Negative Score,Tweets Ago
32,BBC News (World),RT @BBCTech: Bitcoin exchange Youbit shuts after second hack attack https://t.co/7zWaZIxxZr,Tue Dec 19 11:34:29 +0000 2017,-0.4767,0.0,0.763,0.237,68
33,BBC News (World),China condemns US 'Cold War mentality' on national security https://t.co/lJumQoBwgx,Tue Dec 19 11:22:28 +0000 2017,-0.7003,0.145,0.422,0.434,67
34,BBC News (World),Yemen rebel ballistic missile 'intercepted over Riyadh' https://t.co/ZNS245gobR,Tue Dec 19 11:19:05 +0000 2017,-0.1531,0.0,0.814,0.186,66
35,BBC News (World),Christmas attack: Germany 'unprepared' for aftermath https://t.co/S4fhvIaNvE,Tue Dec 19 10:56:52 +0000 2017,-0.4767,0.0,0.659,0.341,65
36,BBC News (World),Serena Williams asks fans for help over baby's teething https://t.co/qwNka3NfGA,Tue Dec 19 10:38:53 +0000 2017,0.4019,0.231,0.769,0.0,64
37,BBC News (World),RT @BBCBusiness: What if the deadliest diseases could be 'uninvented'? #TheDisruptors https://t.co/E5qiHDRVRv,Tue Dec 19 10:18:26 +0000 2017,0.0,0.0,1.0,0.0,63
38,BBC News (World),RT @bbcworldservice: A voice for a dollar? This simple device is giving patients suffering throat cancer the chance to speak again. Full st…,Tue Dec 19 10:08:07 +0000 2017,-0.6249,0.152,0.588,0.26,62
39,BBC News (World),White House to 'temporarily' shut petition website https://t.co/bHddf4mzHt,Tue Dec 19 09:57:10 +0000 2017,0.0,0.0,1.0,0.0,61
40,BBC News (World),Herbal remedy for stroke recovery? https://t.co/HIdN6IMkkW,Tue Dec 19 09:47:02 +0000 2017,0.0,0.0,1.0,0.0,60
41,BBC News (World),Justin Gatlin: Sprinter 'shocked' by allegations about coach &amp; athletics agent https://t.co/ZdtYO8Md2e,Tue Dec 19 09:19:53 +0000 2017,0.0,0.0,1.0,0.0,59
42,BBC News (World),HR McMaster: Russian meddling 'sophisticated subversion' https://t.co/N3S0fc0Dbi,Tue Dec 19 09:11:01 +0000 2017,0.5574,0.375,0.625,0.0,58
43,BBC News (World),Anti-doping investigation begins into claims over Justin Gatlin's coach and an athletics agent… https://t.co/05D9UAizPs,Tue Dec 19 08:23:53 +0000 2017,0.0,0.0,1.0,0.0,57
